ID_PRODUCTO,CATEGORIA_ID,NOMBRE,DESCRIPCION,IMAGEN,PRECIO,STOCK,FECHA_REG,FECHA_ACT
1,1,Pollo Entero,Pollo a la brasa entero,imagen_pollo.jpg,26,500,2023-01-01,2023-01-02
2,1,1/4 de Pollo,1/4 de pollo a la brasa,imagen_pollo_quarter.jpg,9,1000,2023-01-01,2023-01-02
3,2,Papas Fritas,Papas fritas crujientes,imagen_papas.jpg,4,2000,2023-01-01,2023-01-02
4,2,Yucas Fritas,Yucas fritas y doradas,imagen_yucas.jpg,5,1500,2023-01-01,2023-01-02
5,3,Gaseosa,Gaseosa de cola,imagen_gaseosa.jpg,2,3000,2023-01-01,2023-01-02
6,3,Jugo de Naranja,Jugo de naranja natural,imagen_jugo.jpg,3,1000,2023-01-01,2023-01-02
7,4,Torta de Chocolate,Deliciosa torta de chocolate,imagen_torta.jpg,16,500,2023-01-01,2023-01-02
8,4,Helado de Vainilla,Helado cremoso de vainilla,imagen_helado.jpg,6,1000,2023-01-01,2023-01-02
9,5,Empanadas de Carne,Empanadas rellenas de carne,imagen_empanadas.jpg,3,2000,2023-01-01,2023-01-02
10,5,Anticuchos de Pollo,Anticuchos de pollo marinados,imagen_anticuchos.jpg,4,1500,2023-01-01,2023-01-02
11,6,Parrillada Especial,Combinación de carnes a la parrilla,imagen_parrillada.jpg,30,500,2023-01-01,2023-01-02
12,7,Ensalada César,Ensalada fresca con aderezo especial,imagen_ensalada.jpg,9,800,2023-01-01,2023-01-02
13,8,Sopa de Pollo,Sopa de pollo casera,imagen_sopa.jpg,7,600,2023-01-01,2023-01-02
14,9,Parrillada Mixta,Variedad de carnes y chorizos a la parrilla,imagen_parrillada_mixta.jpg,36,400,2023-01-01,2023-01-02
15,10,Ceviche Mixto,Ceviche de pescado y mariscos frescos,imagen_ceviche.jpg,41,400,2023-01-01,2023-01-02
